Category,Function / Pattern,Type,Use Case,Example Formula
Date & Time,TODAY / NOW,Measure/Column,Current date / current date-time,"Days Since Order = DATEDIFF(Sales[OrderDate], TODAY(), DAY)"
Date & Time,YEAR / MONTH / DAY,Calculated Column,"Extract year, month, or day number from a date",OrderYear = YEAR(Sales[OrderDate])
Date & Time,DATE,Calculated Column/Measure,"Construct a date from year, month, day parts","StartDate = DATE(2024,1,1)"
Date & Time,DATEDIFF,Measure/Column,Difference between two dates in a specified interval,"Days to Ship = DATEDIFF(Sales[OrderDate], Sales[ShipDate], DAY)"
Date & Time,EOMONTH,Calculated Column,"Last day of the month, offset by N months","MonthEnd = EOMONTH(Sales[OrderDate], 0)"
Date & Time,WEEKDAY / WEEKNUM,Calculated Column,Day-of-week number / ISO week number,"IsWeekend = IF(WEEKDAY(Sales[OrderDate],2)>5, TRUE, FALSE)"
Date & Time,CALENDAR / CALENDARAUTO,Table,Generate a contiguous date table (basis for a Date dimension),"DateTable = CALENDAR(DATE(2020,1,1), DATE(2026,12,31))"
Date & Time,QUARTER,Calculated Column,Extract quarter number (1-4) from a date,OrderQuarter = QUARTER(Sales[OrderDate])
Date & Time,HOUR / MINUTE / SECOND,Calculated Column,Extract time-of-day components from a datetime,OrderHour = HOUR(Sales[OrderDateTime])
Logical,IF,Measure/Column,Conditional branching based on a test,"Status = IF(Sales[Qty]>100, ""High"", ""Low"")"
Logical,IFS / SWITCH,Measure/Column,"Multi-branch conditional, cleaner than nested IFs","Tier = SWITCH(TRUE(), [Sales]>10000,""Gold"", [Sales]>5000,""Silver"", ""Bronze"")"
Logical,AND / OR / NOT,Measure/Column,Combine or negate boolean conditions,"Eligible = AND(Sales[Qty]>0, Sales[Returned]=FALSE)"
Logical,IFERROR,Measure/Column,Return a fallback value when an expression errors,"Safe Margin = IFERROR([Profit]/[Revenue], 0)"
Logical,ISBLANK / ISERROR / ISNUMBER / ISTEXT / ISLOGICAL,Measure/Column,Type/blank/error checks used as guard conditions,HasValue = NOT(ISBLANK(Sales[Discount]))
Logical,COALESCE,Measure/Column,Return the first non-blank value from a list of expressions,"Best Price = COALESCE(Sales[PromoPrice], Sales[ListPrice], 0)"
Text,CONCATENATE / &,Calculated Column,Join two or more text strings,"FullName = Customers[FirstName] & "" "" & Customers[LastName]"
Text,CONCATENATEX,Measure,Concatenate values from a table into one text string (e.g. comma list),"Products List = CONCATENATEX(Products, Products[Name], "", "")"
Text,FORMAT,Measure/Column,Format a number/date as text using a format string,"Formatted Sales = FORMAT([Total Sales], ""$#,##0.00"")"
Text,LEFT / RIGHT / MID,Calculated Column,"Extract a substring from the start, end, or middle of text","AreaCode = LEFT(Customers[Phone], 3)"
Text,LEN,Calculated Column/Measure,Length of a text string,NameLength = LEN(Customers[FirstName])
Text,UPPER / LOWER / PROPER,Calculated Column,Change text case,NameUpper = UPPER(Customers[FirstName])
Text,TRIM,Calculated Column,Remove leading/trailing spaces,CleanText = TRIM(Sales[Comments])
Text,SUBSTITUTE / REPLACE,Calculated Column,Replace text occurrences within a string,"CleanPhone = SUBSTITUTE(Customers[Phone], ""-"", """")"
Text,FIND / SEARCH,Calculated Column,Locate the position of a substring (case-sensitive/insensitive),"AtPosition = FIND(""@"", Customers[Email])"
Text,VALUE / TEXT-to-number,Calculated Column,Convert a text string to a number,QtyNumber = VALUE(Sales[QtyText])
Text,REPT,Calculated Column,Repeat a text string N times (e.g. star ratings),"StarRating = REPT(""★"", Reviews[Score])"
Math,DIVIDE,Measure,Safe division that returns a default (blank/0) instead of an error on divide-by-zero,"Margin % = DIVIDE([Profit], [Revenue], 0)"
Math,ROUND / ROUNDUP / ROUNDDOWN,Measure/Column,Round a number to N digits,"Rounded Price = ROUND(Sales[UnitPrice], 2)"
Math,ABS,Measure/Column,Absolute value,Variance Abs = ABS([Actual]-[Budget])
Math,CEILING / FLOOR,Measure/Column,Round up/down to nearest multiple,"Rounded Up = CEILING(Sales[UnitPrice], 0.05)"
Math,MOD,Measure/Column,Remainder after division,"IsEven = MOD(Sales[Qty],2)=0"
Math,POWER / SQRT,Measure/Column,Exponentiation / square root,"Squared = POWER(Sales[Value],2)"
Math,EXP / LN / LOG / LOG10,Measure/Column,Exponential and logarithmic functions,LogGrowth = LN([GrowthFactor])
Math,INT / TRUNC,Measure/Column,Convert to integer / truncate decimals,WholeQty = INT(Sales[Qty])
Math,SIGN,Measure/Column,"Return -1, 0, or 1 based on the sign of a number",VarianceDirection = SIGN([Actual]-[Budget])
Statistical,PERCENTILE.INC / PERCENTILE.EXC,Measure,Compute a percentile value across a column,"P90 Price = PERCENTILE.INC(Sales[UnitPrice], 0.9)"
Statistical,RANK.EQ,Column (Excel-style),Rank a value against a range (used in some legacy models),N/A (typically use RANKX in Power BI)
Relationship,RELATED,Calculated Column,Pull a column value from a related table on the 'one' side of a relationship,Category = RELATED(Products[Category])
Relationship,RELATEDTABLE,Calculated Column/Measure,Return related rows from the 'many' side as a table,Order Count = COUNTROWS(RELATEDTABLE(Sales))
Relationship,USERELATIONSHIP,Measure,Activate an inactive relationship for a specific calculation,"Sales by Ship Date = CALCULATE(SUM(Sales[SalesAmount]), USERELATIONSHIP(Sales[ShipDate], 'Date'[Date]))"
Relationship,CROSSFILTER,Measure,Temporarily change filter direction or disable a relationship,"One-Way = CALCULATE([Total Sales], CROSSFILTER(Sales[ProductID], Products[ProductID], OneDirection))"
Relationship,LOOKUPVALUE,Calculated Column/Measure,"Look up a value in another table based on matching criteria, like Excel VLOOKUP","Region = LOOKUPVALUE(Stores[Region], Stores[StoreID], Sales[StoreID])"
Table,SUMMARIZE,Table/Measure,Group a table by columns and add aggregated expressions,"SalesByCat = SUMMARIZE(Sales, Products[Category], ""Total"", SUM(Sales[SalesAmount]))"
Table,SUMMARIZECOLUMNS,Table,"Modern, efficient grouping with filters, preferred in query-level table expressions","SUMMARIZECOLUMNS(Products[Category], ""Total Sales"", SUM(Sales[SalesAmount]))"
Table,ADDCOLUMNS,Table,Add calculated columns to a table expression on the fly,"ADDCOLUMNS(Products, ""Margin"", Products[Price]-Products[Cost])"
Table,SELECTCOLUMNS,Table,"Project/select specific columns from a table, optionally renaming them","SELECTCOLUMNS(Products, ""Name"", Products[Name], ""Price"", Products[Price])"
Table,GENERATE / GENERATEALL,Table,Row-by-row cross join of a table with a second table expression evaluated per row,"GENERATE(Products, TOPN(1, Sales, Sales[OrderDate], DESC))"
Table,UNION,Table,Stack rows from two or more tables with the same column count,"UNION(Table1, Table2)"
Table,INTERSECT,Table,Return rows common to two tables,"INTERSECT(TableA, TableB)"
Table,EXCEPT,Table,Return rows in the first table not present in the second,"EXCEPT(TableA, TableB)"
Table,NATURALINNERJOIN / NATURALLEFTOUTERJOIN,Table,Join two tables that share a common key column,"NATURALINNERJOIN(Sales, Products)"
Table,CROSSJOIN,Table,Cartesian product of two or more tables,"CROSSJOIN(Colors, Sizes)"
Table,TOPN,Table/Measure,Return top N rows of a table ordered by an expression,"TOPN(10, Sales, Sales[SalesAmount], DESC)"
Table,GROUPBY,Table,"Group rows and compute aggregations, similar to SUMMARIZE but with extension columns","GROUPBY(Sales, Sales[CustomerID], ""Total"", SUMX(CURRENTGROUP(), Sales[Amount]))"
Table,ROW,Table,"Create a single-row table with named columns, often for what-if scenarios","ROW(""Metric"", ""Total"", ""Value"", [Total Sales])"
Table,VALUES / DISTINCT (as table),Table,Return a one-column table of distinct/visible values for iteration,"SUMX(VALUES(Products[Category]), [Total Sales])"
Parent-Child,PATH,Calculated Column,"Build a delimited path string of ancestor IDs for hierarchies (org charts, BOM)","OrgPath = PATH(Employees[EmployeeID], Employees[ManagerID])"
Parent-Child,PATHITEM,Calculated Column,Return the ID at a specific level of a PATH string,"Level2 = PATHITEM([OrgPath], 2, INTEGER)"
Parent-Child,PATHLENGTH,Calculated Column,Number of levels in a PATH string,Depth = PATHLENGTH([OrgPath])
Parent-Child,PATHCONTAINS,Calculated Column/Measure,Check whether a PATH string contains a given ID,"IsUnderManager = PATHCONTAINS([OrgPath], EmployeeID)"
Information,ISEMPTY,Measure,Check if a table expression returns no rows,HasSales = NOT(ISEMPTY(Sales))
Information,USERNAME / USERPRINCIPALNAME,Measure,"Return the logged-in user, useful for Row-Level Security (RLS)",CurrentUser = USERNAME()
Information,CUSTOMDATA,Measure,"Return custom data string passed via connection string, used in RLS scenarios",N/A (RLS with external connection)
Information,ISONORAFTER,Measure,Efficient boundary comparison used internally by time-intelligence patterns,N/A (typically auto-generated by DAX time-intelligence functions)
Variables/Pattern,VAR ... RETURN,Measure,Store intermediate calculation results for readability and performance,"YoY % = VAR CurYear = [Total Sales] VAR PriorYear = CALCULATE([Total Sales], SAMEPERIODLASTYEAR('Date'[Date])) RETURN DIVIDE(CurYear-PriorYear, PriorYear)"
Variables/Pattern,Running Total Pattern,Measure,Cumulative total up to current row/date using CALCULATE + FILTER(ALL()),"Running Total = CALCULATE(SUM(Sales[SalesAmount]), FILTER(ALL('Date'[Date]), 'Date'[Date]<=MAX('Date'[Date])))"
Variables/Pattern,% of Parent Total,Measure,Ratio of a row's value to a higher grouping's total,"% of Category = DIVIDE(SUM(Sales[SalesAmount]), CALCULATE(SUM(Sales[SalesAmount]), ALLEXCEPT(Products, Products[Category])))"
Aggregation,COUNTX,Measure,Count rows where a row expression is non-blank — iterator version of COUNT,"Valid Orders = COUNTX(Sales, Sales[OrderID])"
Aggregation,COUNTAX,Measure,Count non-blank row-expression results of any type — iterator version of COUNTA,"Filled Notes = COUNTAX(Sales, Sales[Comments])"
Aggregation,VARX.S / VARX.P,Measure,Sample/population variance of a row expression across a table (iterator version of VAR.S/VAR.P),"Line Variance = VARX.S(Sales, Sales[Qty]*Sales[UnitPrice])"
Aggregation,STDEVX.S / STDEVX.P,Measure,Sample/population standard deviation of a row expression (iterator version of STDEV.S/STDEV.P),"Line StdDev = STDEVX.S(Sales, Sales[Qty]*Sales[UnitPrice])"
Aggregation,GEOMEANX,Measure,Geometric mean of a row expression across a table,"Avg Growth = GEOMEANX(Returns, 1+Returns[Rate])"
Aggregation,APPROXIMATEDISTINCTCOUNT,Measure,"Fast approximate distinct count for very large DirectQuery tables (small margin of error, big speed gain)",Approx Customers = APPROXIMATEDISTINCTCOUNT(Sales[CustomerID])
Filter,SELECTEDVALUE,Measure,"Return the single selected value in current context, or a default if zero/multiple values are selected — cleaner shorthand for the HASONEVALUE+VALUES pattern","Selected Category = SELECTEDVALUE(Products[Category], ""All Categories"")"
Filter,ISINSCOPE,Measure,"Check which level of a hierarchy is currently being displayed, for level-specific formatting or logic","Label = IF(ISINSCOPE(Products[Category]), ""Category Total"", ""Detail"")"
Filter,CONTAINS,Measure,Row-by-row test for whether a table contains a row matching given column/value pairs,"Has Match = CONTAINS(Products, Products[SKU], ""ABC123"")"
Filter,CONTAINSROW,Measure,Test whether a table expression contains a specific row of values (used internally by the IN operator),"In List = CONTAINSROW({""East"",""West""}, Sales[Region])"
Filter,HASONEFILTER,Measure,"Check if exactly one value is being filtered directly on a column (stricter than HASONEVALUE, ignores values from relationships)",Direct Filter = HASONEFILTER(Products[Category])
Filter,ALLCROSSFILTERED,Measure,Remove all filters coming from cross-filtering through relationships on a table,"Clear Cross Filters = CALCULATE([Total Sales], ALLCROSSFILTERED(Products))"
Filter,FILTERS,Measure,"Return the values currently filtering a column as a table (fails if more than one filter condition applies, unlike VALUES)",Active Filters = FILTERS(Products[Category])
Time Intelligence,STARTOFQUARTER / ENDOFQUARTER,Measure,First/last date of the quarter in current context,Quarter Start = STARTOFQUARTER('Date'[Date])
Time Intelligence,STARTOFYEAR / ENDOFYEAR,Measure,First/last date of the year in current context,Year End = ENDOFYEAR('Date'[Date])
Time Intelligence,OPENINGBALANCEQUARTER / OPENINGBALANCEYEAR,Measure,Balance at the start of a quarter/year (sibling of OPENINGBALANCEMONTH),"Opening Bal Q = OPENINGBALANCEQUARTER([Balance], 'Date'[Date])"
Time Intelligence,CLOSINGBALANCEQUARTER / CLOSINGBALANCEYEAR,Measure,Balance at the end of a quarter/year (sibling of CLOSINGBALANCEMONTH),"Closing Bal Y = CLOSINGBALANCEYEAR([Balance], 'Date'[Date])"
Time Intelligence,UTCTODAY / UTCNOW,Measure,"Current UTC date / UTC date-time, unaffected by server local time zone",UTC Now = UTCNOW()
Date & Time,DATEVALUE,Calculated Column/Measure,Convert a text string into a proper date value,ParsedDate = DATEVALUE(Sales[OrderDateText])
Date & Time,TIMEVALUE,Calculated Column/Measure,Convert a text string into a proper time value,ParsedTime = TIMEVALUE(Sales[OrderTimeText])
Date & Time,TIME,Calculated Column/Measure,"Construct a time value from hour, minute, second parts","OrderTime = TIME(14,30,0)"
Date & Time,YEARFRAC,Calculated Column/Measure,"Fraction of a year between two dates, useful for prorating annual amounts","Tenure Years = YEARFRAC(Employees[HireDate], TODAY())"
Text,EXACT,Calculated Column/Measure,Case-sensitive comparison of two text strings,"IsExactMatch = EXACT(Sales[Code], ""ABC-100"")"
Text,FIXED,Calculated Column/Measure,Round a number and return it formatted as text with fixed decimals and optional thousands separator,"Formatted Amt = FIXED(Sales[SalesAmount], 2, FALSE)"
Text,CHAR / CODE,Calculated Column/Measure,Convert between a character and its numeric character code,NewlineChar = CHAR(10)
Text,UNICHAR / UNICODE,Calculated Column/Measure,Convert between a Unicode character and its Unicode code point (supports emoji/international text),StarChar = UNICHAR(9733)
Text,COMBINEVALUES,Calculated Column,"Efficiently concatenate values with a delimiter, optimized for composite-key calculated columns","CompositeKey = COMBINEVALUES(""-"", Sales[OrderID], Sales[LineNum])"
Math,QUOTIENT,Measure/Column,Integer portion of a division (discards the remainder),"Full Cases = QUOTIENT(Sales[Qty], 12)"
Math,PI,Measure/Column,Return the value of pi for trigonometric/geometric calculations,Circumference = 2*PI()*Radius[Value]
Math,DEGREES / RADIANS,Measure/Column,Convert between radians and degrees,AngleDeg = DEGREES(AngleRad[Value])
Math,SIN / COS / TAN / ASIN / ACOS / ATAN,Measure/Column,"Standard trigonometric functions, used in geometric/engineering calculations",SineValue = SIN(Angles[Radians])
Math,RAND / RANDBETWEEN,Measure/Column,Generate a random decimal (0-1) or random integer within a range — useful for sampling/simulation,"DiceRoll = RANDBETWEEN(1,6)"
Math,FACT,Measure/Column,Factorial of a number,Permutations Base = FACT(5)
Math,COMBIN / COMBINA,Measure/Column,"Number of combinations of items taken n at a time, with/without repetition","Combos = COMBIN(10,3)"
Math,PERMUT,Measure/Column,Number of ordered permutations of items taken n at a time,"Permutations = PERMUT(10,3)"
Math,MROUND,Measure/Column,Round a number to the nearest multiple of a given value,"Nearest Nickel = MROUND(Sales[UnitPrice], 0.05)"
Math,GCD / LCM,Measure/Column,Greatest common divisor / least common multiple of two or more integers,"BatchSize = LCM(Products[CaseSize], Products[PalletSize])"
Statistical,PERCENTILEX.INC / PERCENTILEX.EXC,Measure,Percentile of a row expression evaluated across a table (iterator version of PERCENTILE.INC/EXC),"P90 Order Value = PERCENTILEX.INC(Sales, Sales[Qty]*Sales[UnitPrice], 0.9)"
Relationship,TREATAS,Measure,"Apply the values from one table as filters onto columns in another, unrelated table — builds a 'virtual relationship' without a physical one in the model","Budget Aligned = CALCULATE(SUM(Budget[Amount]), TREATAS(VALUES(Sales[Category]), Budget[Category]))"
Table,GENERATESERIES,Table,Generate a table of sequential numbers — the standard technique for building What-If parameter tables and numeric axes,"TopN Parameter = GENERATESERIES(1, 50, 1)"
Table,DETAILROWS,Table,"Return the underlying detail rows behind a measure, respecting any Detail Rows Expression defined on it",Drill Detail = DETAILROWS([Total Sales])
Table,ADDMISSINGITEMS,Table,"Add rows for dimension values with no matching fact rows, so they still appear (e.g. as zero) in a visual","Full Product List = ADDMISSINGITEMS(VALUES(Products[Name]), Sales, Products[Name])"
Parent-Child,PATHITEMREVERSE,Calculated Column,"Return the ID at a specific level of a PATH string, counting from the end instead of the start","Immediate Parent = PATHITEMREVERSE([OrgPath], 1, INTEGER)"
Information,ISSUBTOTAL,Measure,Check whether the current row in a visual is a subtotal/total row rather than a detail row,Is Total Row = ISSUBTOTAL(Products[Category])
Information,NAMEOF,Measure/Table,Return the fully-qualified name of a column or measure as text — required syntax for building Field Parameter tables,"Field Parameter = {(""Total Sales"", NAMEOF([Total Sales]), 0)}"
Calculation Groups,SELECTEDMEASURE,Calc Item,"Reference whichever base measure is currently on the visual, inside a calculation item","Calc Item 'YTD' = TOTALYTD(SELECTEDMEASURE(), 'Date'[Date])"
Calculation Groups,SELECTEDMEASURENAME,Calc Item,"Return the name of the measure currently being modified by a calculation item, for conditional logic per measure","Format Label = SELECTEDMEASURENAME() & "" (YTD)"""
Calculation Groups,SELECTEDMEASUREFORMATSTRING,Calc Item,"Return the format string of the currently selected measure, to preserve its formatting through a calculation item",FormatString = SELECTEDMEASUREFORMATSTRING()
Calculation Groups,ISSELECTEDMEASURE,Calc Item,"Test whether a specific named measure is the one currently active, to branch calculation-item logic per measure","Custom Logic = IF(ISSELECTEDMEASURE([Total Sales]), [Total Sales]*1.1, SELECTEDMEASURE())"
Financial,NPV,Measure,Net present value of a series of cash flows at a given discount rate,"Project NPV = NPV(DiscountRate[Value], CashFlows[Amount])"
Financial,XNPV,Measure,Net present value for cash flows on irregular (non-periodic) dates,"Deal XNPV = XNPV(DiscountRate[Value], CashFlows[Amount], CashFlows[Date])"
Financial,XIRR,Measure,Internal rate of return for cash flows on irregular (non-periodic) dates,"Deal XIRR = XIRR(CashFlows[Amount], CashFlows[Date])"
Financial,PV / FV,Measure,"Present value / future value of an investment given rate, periods, and payment","Loan PV = PV(Rate[Value]/12, Term[Months], -Payment[Value])"
Financial,PMT,Measure,Periodic payment required to amortize a loan over a term at a given rate,"Monthly Payment = PMT(Rate[Value]/12, Term[Months], -Loan[Principal])"
Aggregation,AVERAGEA,Measure,"Average of a column including text and logical values (TRUE=1, FALSE/text=0) alongside numbers, unlike AVERAGE which ignores them",Avg Mixed = AVERAGEA(Survey[ResponseColumn])
Aggregation,MAXA,Measure,"Maximum value in a column including logical/text values (TRUE=1, text=0), unlike MAX which ignores them",Max Mixed = MAXA(Sales[MixedColumn])
Aggregation,MINA,Measure,"Minimum value in a column including logical/text values (TRUE=1, text=0), unlike MIN which ignores them",Min Mixed = MINA(Sales[MixedColumn])
Logical,BITAND / BITOR / BITXOR / BITLSHIFT / BITRSHIFT,Measure/Column,"Bitwise operations on integers, used for flag/permission bitmask logic","Combined Flags = BITOR(Permissions[FlagA], Permissions[FlagB])"
Logical,ISNONTEXT,Measure/Column,"Test whether a value is NOT text (opposite of ISTEXT; TRUE for numbers, dates, blanks)",Is Not Text = ISNONTEXT(Sales[Field])
Math,EVEN / ODD,Measure/Column,Round a number away from zero to the nearest even/odd integer,Even Qty = EVEN(Sales[Qty])
Math,CURRENCY,Measure/Column,"Cast a value to the Currency (fixed 4-decimal) data type, avoiding floating-point rounding drift in money calculations",Price as Currency = CURRENCY(Sales[UnitPrice])
Math,SQRTPI,Measure/Column,"Square root of a number multiplied by pi, common in area/geometry formulas",Radius Helper = SQRTPI(Area[Value])
Math,ISO.CEILING,Measure/Column,"Round a number up to the nearest multiple using ISO-standard rounding (always toward positive infinity, unlike CEILING for negatives)","ISO Rounded = ISO.CEILING(Sales[UnitPrice], 0.05)"
Math,SINH / COSH / TANH / COT / COTH / ACOSH / ASINH / ATANH / ACOTH,Measure/Column,Hyperbolic and cotangent trigonometric functions for advanced engineering/scientific calculations,Hyperbolic Sine = SINH(Values[X])
Statistical,NORM.DIST / NORM.INV / NORM.S.DIST / NORM.S.INV,Measure,"Normal distribution probability and inverse functions, used in statistical confidence bands and forecasting models","Probability = NORM.DIST(Value[X], Mean[Value], StdDev[Value], TRUE)"
