Pattern Name,Use Case,Functions Combined,Full Formula,How It Works
6. Rolling 3-Month Average,[Time Intelligence] AVERAGEX iterates 3 trailing months,"AVERAGEX, DATESINPERIOD, MAX, CALCULATE, SUM","Rolling 3M Avg = AVERAGEX(DATESINPERIOD('Date'[Date], MAX('Date'[Date]), -3, MONTH), CALCULATE(SUM(Sales[SalesAmount])))",AVERAGEX iterates 3 trailing months
7. Rolling 6-Month Average,"[Time Intelligence] Same pattern, wider window","AVERAGEX, DATESINPERIOD, MAX, CALCULATE, SUM","Rolling 6M Avg = AVERAGEX(DATESINPERIOD('Date'[Date], MAX('Date'[Date]), -6, MONTH), CALCULATE(SUM(Sales[SalesAmount])))","Same pattern, wider window"
8. Rolling 12-Month Average,[Time Intelligence] Common for de-seasonalized trend lines,"AVERAGEX, DATESINPERIOD, MAX, CALCULATE, SUM","Rolling 12M Avg = AVERAGEX(DATESINPERIOD('Date'[Date], MAX('Date'[Date]), -12, MONTH), CALCULATE(SUM(Sales[SalesAmount])))",Common for de-seasonalized trend lines
9. Previous Day Comparison,[Time Intelligence] Common time intelligence reporting pattern,"CALCULATE, DATEADD","Sales Prev Day = CALCULATE([Total Sales], DATEADD('Date'[Date], -1, DAY))",See formula — Time Intelligence pattern.
10. Previous Week Comparison,"[Time Intelligence] No native WEEK interval in DATEADD, so use -7 DAY","CALCULATE, DATEADD","Sales Prev Week = CALCULATE([Total Sales], DATEADD('Date'[Date], -7, DAY))","No native WEEK interval in DATEADD, so use -7 DAY"
11. Previous Month Comparison,[Time Intelligence] Common time intelligence reporting pattern,"CALCULATE, PREVIOUSMONTH","Sales Prev Month = CALCULATE([Total Sales], PREVIOUSMONTH('Date'[Date]))",See formula — Time Intelligence pattern.
12. Previous Quarter Comparison,[Time Intelligence] Common time intelligence reporting pattern,"CALCULATE, PREVIOUSQUARTER","Sales Prev Qtr = CALCULATE([Total Sales], PREVIOUSQUARTER('Date'[Date]))",See formula — Time Intelligence pattern.
13. Previous Year Comparison,[Time Intelligence] Common time intelligence reporting pattern,"CALCULATE, PREVIOUSYEAR","Sales Prev Year = CALCULATE([Total Sales], PREVIOUSYEAR('Date'[Date]))",See formula — Time Intelligence pattern.
14. Same Period Last Year,[Time Intelligence] Preserves current period length (e.g. partial month) unlike PREVIOUSYEAR,"CALCULATE, SAMEPERIODLASTYEAR","Sales SPLY = CALCULATE([Total Sales], SAMEPERIODLASTYEAR('Date'[Date]))",Preserves current period length (e.g. partial month) unlike PREVIOUSYEAR
15. Year-to-Date (YTD),[Time Intelligence] Common time intelligence reporting pattern,"TOTALYTD, SUM","Sales YTD = TOTALYTD(SUM(Sales[SalesAmount]), 'Date'[Date])",See formula — Time Intelligence pattern.
16. Month-to-Date (MTD),[Time Intelligence] Common time intelligence reporting pattern,"TOTALMTD, SUM","Sales MTD = TOTALMTD(SUM(Sales[SalesAmount]), 'Date'[Date])",See formula — Time Intelligence pattern.
17. Quarter-to-Date (QTD),[Time Intelligence] Common time intelligence reporting pattern,"TOTALQTD, SUM","Sales QTD = TOTALQTD(SUM(Sales[SalesAmount]), 'Date'[Date])",See formula — Time Intelligence pattern.
18. Fiscal Year Comparison,[Time Intelligence] Third TOTALYTD argument sets fiscal year-end date,"TOTALYTD, SUM","Sales Fiscal YTD = TOTALYTD(SUM(Sales[SalesAmount]), 'Date'[Date], ""06/30"")",Third TOTALYTD argument sets fiscal year-end date
19. Custom Fiscal Calendar,"[Time Intelligence] Calculated column on Date table; combine with FiscalMonth = MOD(MONTH([Date])-7,12)+1","IF, MONTH, YEAR","FiscalYear = IF(MONTH('Date'[Date])>=7, YEAR('Date'[Date])+1, YEAR('Date'[Date]))","Calculated column on Date table; combine with FiscalMonth = MOD(MONTH([Date])-7,12)+1"
20. Moving Window Analysis (N days),"[Time Intelligence] General-purpose trailing window, N and interval both adjustable","CALCULATE, DATESINPERIOD, MAX","Sales Last 30D = CALCULATE([Total Sales], DATESINPERIOD('Date'[Date], MAX('Date'[Date]), -30, DAY))","General-purpose trailing window, N and interval both adjustable"
21. Week-over-Week Growth,[Time Intelligence] Common time intelligence reporting pattern,"CALCULATE, DATEADD, DIVIDE","WoW % = VAR Cur=[Total Sales] VAR PW=CALCULATE([Total Sales],DATEADD('Date'[Date],-7,DAY)) RETURN DIVIDE(Cur-PW,PW)",See formula — Time Intelligence pattern.
22. CAGR Calculation,[Time Intelligence] Compound annual growth rate between first and last period in context,"CALCULATE, FIRSTDATE, LASTDATE, DATEDIFF, MIN, MAX, IF, BLANK","CAGR = VAR BeginVal=CALCULATE([Total Sales],FIRSTDATE('Date'[Date])) VAR EndVal=CALCULATE([Total Sales],LASTDATE('Date'[Date])) VAR Yrs=DATEDIFF(CALCULATE(MIN('Date'[Date])),CALCULATE(MAX('Date'[Date])),YEAR) RETURN IF(Yrs>0 && BeginVal>0,(EndVal/BeginVal)^(1/Yrs)-1,BLANK())",Compound annual growth rate between first and last period in context
23. Remaining Days in Month,[Time Intelligence] Common time intelligence reporting pattern,"DATEDIFF, TODAY, EOMONTH","Days Remaining = DATEDIFF(TODAY(), EOMONTH(TODAY(),0), DAY)",See formula — Time Intelligence pattern.
24. Business Days Calculation,[Time Intelligence] Requires IsWeekend/IsHoliday flag columns on the Date table (WEEKDAY-based),"CALCULATE, COUNTROWS","Business Days = CALCULATE(COUNTROWS('Date'), 'Date'[IsWeekend]=FALSE, 'Date'[IsHoliday]=FALSE)",Requires IsWeekend/IsHoliday flag columns on the Date table (WEEKDAY-based)
25. Last Available Date Pattern,[Time Intelligence] Useful for balances/inventory snapshots where not every date has data,"CALCULATE, LASTNONBLANK","Sales at Last Date = CALCULATE([Total Sales], LASTNONBLANK('Date'[Date], CALCULATE([Total Sales])))",Useful for balances/inventory snapshots where not every date has data
26. Rank by Sales,[Ranking] Common ranking reporting pattern,"RANKX, ALL","Sales Rank = RANKX(ALL(Products), [Total Sales])",See formula — Ranking pattern.
27. Rank by Profit,[Ranking] Common ranking reporting pattern,"RANKX, ALL","Profit Rank = RANKX(ALL(Products), [Total Profit])",See formula — Ranking pattern.
28. Top N Customers,[Ranking] TOPN builds the table; SUMX totals it,"SUMX, TOPN, VALUES","Top 10 Customers Sales = SUMX(TOPN(10, VALUES(Customers[CustomerID]), [Total Sales]), [Total Sales])",TOPN builds the table; SUMX totals it
29. Bottom N Products,[Ranking] ASC order flips TOPN to lowest-first,"TOPN, ALL","Bottom 10 Products = TOPN(10, ALL(Products), [Total Sales], ASC)",ASC order flips TOPN to lowest-first
30. Top N + Others,[Ranking] Used as a grouping column/measure in a matrix,"IF, RANKX, ALL, VALUES","Customer Group = IF(RANKX(ALL(Customers[Name]), [Total Sales]) <= 10, VALUES(Customers[Name]), ""Others"")",Used as a grouping column/measure in a matrix
31. Dynamic Ranking,[Ranking] Pair with a SWITCH-based [Selected Metric] field-parameter measure,"RANKX, ALL","Dynamic Rank = RANKX(ALL(Products), [Selected Metric], , DESC)",Pair with a SWITCH-based [Selected Metric] field-parameter measure
32. Dense Ranking,"[Ranking] DENSE removes gaps after ties (1,2,2,3 instead of 1,2,2,4)","RANKX, ALL","Dense Rank = RANKX(ALL(Products), [Total Sales], , DESC, DENSE)","DENSE removes gaps after ties (1,2,2,3 instead of 1,2,2,4)"
33. Category Ranking,[Ranking] Common ranking reporting pattern,"RANKX, ALL, CALCULATE","Category Rank = RANKX(ALL(Products[Category]), CALCULATE([Total Sales]))",See formula — Ranking pattern.
34. Region Ranking,[Ranking] Common ranking reporting pattern,"RANKX, ALL, CALCULATE","Region Rank = RANKX(ALL(Stores[Region]), CALCULATE([Total Sales]))",See formula — Ranking pattern.
35. Customer Ranking,[Ranking] Common ranking reporting pattern,"RANKX, ALL","Customer Rank = RANKX(ALL(Customers), [Total Sales])",See formula — Ranking pattern.
36. Product Ranking,[Ranking] Common ranking reporting pattern,"RANKX, ALL","Product Rank = RANKX(ALL(Products), [Total Sales])",See formula — Ranking pattern.
37. Brand Ranking,[Ranking] Common ranking reporting pattern,"RANKX, ALL, CALCULATE","Brand Rank = RANKX(ALL(Products[Brand]), CALCULATE([Total Sales]))",See formula — Ranking pattern.
38. Salesperson Ranking,[Ranking] Common ranking reporting pattern,"RANKX, ALL","Rep Rank = RANKX(ALL(Salespeople), [Total Sales])",See formula — Ranking pattern.
39. Market Ranking,[Ranking] Common ranking reporting pattern,"RANKX, ALL, CALCULATE","Market Rank = RANKX(ALL(Markets), CALCULATE([Total Sales]))",See formula — Ranking pattern.
40. Percentile Ranking,[Ranking] Normalizes rank to a 0-1 percentile scale,"RANKX, ALL, COUNTROWS, DIVIDE","Percentile Rank = VAR Rank=RANKX(ALL(Products),[Total Sales]) VAR N=COUNTROWS(ALL(Products)) RETURN DIVIDE(N-Rank,N-1)",Normalizes rank to a 0-1 percentile scale
41. Dynamic Rank with Slicer,[Ranking] ALLSELECTED respects slicer selections instead of clearing all filters,"RANKX, ALLSELECTED","Rank (Visible) = RANKX(ALLSELECTED(Products), [Total Sales])",ALLSELECTED respects slicer selections instead of clearing all filters
42. Rank within Category,[Ranking] Common ranking reporting pattern,"RANKX, ALLEXCEPT","Rank in Category = RANKX(ALLEXCEPT(Products, Products[Category]), [Total Sales])",See formula — Ranking pattern.
43. Rank by Growth,[Ranking] Common ranking reporting pattern,"RANKX, ALL","Growth Rank = RANKX(ALL(Products), [YoY %])",See formula — Ranking pattern.
44. Rank Change vs Previous Period,[Ranking] Positive = moved up in rank vs prior month,"RANKX, ALL, CALCULATE, DATEADD","Rank Change = VAR CurRank=RANKX(ALL(Products),[Total Sales]) VAR PrevRank=RANKX(ALL(Products),CALCULATE([Total Sales],DATEADD('Date'[Date],-1,MONTH))) RETURN PrevRank-CurRank",Positive = moved up in rank vs prior month
45. Leaderboard Pattern,"[Ranking] SUMMARIZE builds the grouped table, TOPN trims it for the visual","TOPN, SUMMARIZE","Leaderboard = TOPN(10, SUMMARIZE(Salespeople, Salespeople[Name], ""Sales"", [Total Sales]), [Sales], DESC)","SUMMARIZE builds the grouped table, TOPN trims it for the visual"
46. % of Total Sales,[Percentage & Contribution] Common percentage & contribution reporting pattern,"DIVIDE, CALCULATE, ALL","% of Total = DIVIDE([Total Sales], CALCULATE([Total Sales], ALL(Sales)))",See formula — Percentage & Contribution pattern.
47. % of Parent Category,[Percentage & Contribution] Common percentage & contribution reporting pattern,"DIVIDE, CALCULATE, ALLEXCEPT","% of Category = DIVIDE([Total Sales], CALCULATE([Total Sales], ALLEXCEPT(Products, Products[Category])))",See formula — Percentage & Contribution pattern.
48. % Contribution,[Percentage & Contribution] Common percentage & contribution reporting pattern,"DIVIDE, CALCULATE, ALL","% Contribution = DIVIDE([Total Sales], CALCULATE([Total Sales], ALL(Products)))",See formula — Percentage & Contribution pattern.
49. Market Share,[Percentage & Contribution] [Industry Total Sales] typically comes from an external benchmark table,DIVIDE,"Market Share % = DIVIDE([Total Sales], [Industry Total Sales])",[Industry Total Sales] typically comes from an external benchmark table
50. Category Share,[Percentage & Contribution] Common percentage & contribution reporting pattern,"DIVIDE, CALCULATE, ALL","Category Share % = DIVIDE([Total Sales], CALCULATE([Total Sales], ALL(Products[Category])))",See formula — Percentage & Contribution pattern.
51. Running Percentage,[Percentage & Contribution] Common percentage & contribution reporting pattern,"DIVIDE, CALCULATE, ALL","Running % = DIVIDE([Running Total], CALCULATE([Total Sales], ALL('Date')))",See formula — Percentage & Contribution pattern.
52. Pareto Analysis,"[Percentage & Contribution] Cumulative sum of products up to current rank, divided by grand total","RANKX, ALL, DIVIDE, CALCULATE, SUM, TOPN","Cumulative % (Pareto) = VAR CurRank=RANKX(ALL(Products),[Total Sales]) RETURN DIVIDE(CALCULATE(SUM(Sales[SalesAmount]),TOPN(CurRank,ALL(Products),[Total Sales])),CALCULATE([Total Sales],ALL(Products)))","Cumulative sum of products up to current rank, divided by grand total"
53. 80/20 Analysis,[Percentage & Contribution] Built on the Pareto % measure above,IF,"Pareto Bucket = IF([Cumulative % (Pareto)] <= 0.8, ""Top 80%"", ""Bottom 20%"")",Built on the Pareto % measure above
54. Profit Margin %,[Percentage & Contribution] Common percentage & contribution reporting pattern,DIVIDE,"Profit Margin % = DIVIDE([Total Profit], [Total Sales])",See formula — Percentage & Contribution pattern.
55. Gross Margin %,[Percentage & Contribution] Common percentage & contribution reporting pattern,DIVIDE,"Gross Margin % = DIVIDE([Total Sales]-[Total COGS], [Total Sales])",See formula — Percentage & Contribution pattern.
56. Contribution Margin,[Percentage & Contribution] Common percentage & contribution reporting pattern,N/A,Contribution Margin = [Total Sales] - [Total Variable Cost],See formula — Percentage & Contribution pattern.
57. Share of Wallet,[Percentage & Contribution] Common percentage & contribution reporting pattern,DIVIDE,"Share of Wallet = DIVIDE([Sales to This Brand], [Customer Total Category Spend])",See formula — Percentage & Contribution pattern.
58. Revenue Mix,[Percentage & Contribution] Common percentage & contribution reporting pattern,"DIVIDE, CALCULATE, ALL","Revenue Mix % = DIVIDE([Total Sales], CALCULATE([Total Sales], ALL(Products[Category])))",See formula — Percentage & Contribution pattern.
59. Sales Mix,[Percentage & Contribution] Qty-based version of revenue mix,"DIVIDE, SUM, CALCULATE, ALL","Sales Mix % = DIVIDE(SUM(Sales[Qty]), CALCULATE(SUM(Sales[Qty]), ALL(Products)))",Qty-based version of revenue mix
60. Brand Contribution,[Percentage & Contribution] Common percentage & contribution reporting pattern,"DIVIDE, CALCULATE, ALL","Brand Contribution % = DIVIDE([Total Sales], CALCULATE([Total Sales], ALL(Products[Brand])))",See formula — Percentage & Contribution pattern.
61. Customer Contribution,[Percentage & Contribution] Common percentage & contribution reporting pattern,"DIVIDE, CALCULATE, ALL","Customer Contribution % = DIVIDE([Total Sales], CALCULATE([Total Sales], ALL(Customers)))",See formula — Percentage & Contribution pattern.
62. Segment Contribution,[Percentage & Contribution] Common percentage & contribution reporting pattern,"DIVIDE, CALCULATE, ALL","Segment Contribution % = DIVIDE([Total Sales], CALCULATE([Total Sales], ALL(Customers[Segment])))",See formula — Percentage & Contribution pattern.
63. Dynamic Percentage,[Percentage & Contribution] Pairs with the Selected Metric field-parameter SWITCH measure,"DIVIDE, CALCULATE, ALL","Dynamic % = DIVIDE([Selected Metric], CALCULATE([Selected Metric], ALL(Products)))",Pairs with the Selected Metric field-parameter SWITCH measure
64. Weighted Percentage,[Percentage & Contribution] Common percentage & contribution reporting pattern,"DIVIDE, SUMX","Weighted % = DIVIDE(SUMX(Products, Products[Weight]*[Total Sales]), SUMX(Products,[Total Sales]))",See formula — Percentage & Contribution pattern.
65. Relative Performance %,[Percentage & Contribution] Compares a product's sales to the average product's sales,"DIVIDE, CALCULATE, AVERAGEX, VALUES, ALL","Relative Performance % = DIVIDE([Total Sales], CALCULATE(AVERAGEX(VALUES(Products[ProductID]),[Total Sales]), ALL(Products)))",Compares a product's sales to the average product's sales
66. New Customers,[Customer Analysis] Counts customers whose first-ever order falls inside the current date filter,"VALUES, CALCULATE, DISTINCTCOUNT, FILTER, MIN","New Customers = VAR CurCustomers=VALUES(Sales[CustomerID]) RETURN CALCULATE(DISTINCTCOUNT(Sales[CustomerID]), FILTER(CurCustomers, CALCULATE(MIN(Sales[OrderDate])) >= MIN('Date'[Date])))",Counts customers whose first-ever order falls inside the current date filter
67. Returning Customers,[Customer Analysis] Complement of New Customers,"VALUES, CALCULATE, DISTINCTCOUNT, FILTER, MIN","Returning Customers = VAR CurCustomers=VALUES(Sales[CustomerID]) RETURN CALCULATE(DISTINCTCOUNT(Sales[CustomerID]), FILTER(CurCustomers, CALCULATE(MIN(Sales[OrderDate])) < MIN('Date'[Date])))",Complement of New Customers
68. Lost Customers,"[Customer Analysis] Customers present last period but absent this period, via EXCEPT","CALCULATE, VALUES, DATEADD, COUNTROWS, EXCEPT","Lost Customers = VAR PriorCustomers=CALCULATE(VALUES(Sales[CustomerID]), DATEADD('Date'[Date],-1,YEAR)) VAR CurCustomers=VALUES(Sales[CustomerID]) RETURN COUNTROWS(EXCEPT(PriorCustomers, CurCustomers))","Customers present last period but absent this period, via EXCEPT"
69. Reactivated Customers,[Customer Analysis] Customers who returned after a 180+ day gap,"CALCULATE, DISTINCTCOUNT, FILTER, VALUES, DATEDIFF, MAX, MIN","Reactivated Customers = CALCULATE(DISTINCTCOUNT(Sales[CustomerID]), FILTER(VALUES(Sales[CustomerID]), CALCULATE(DATEDIFF(MAX(Sales[OrderDate]), MIN('Date'[Date]), DAY), Sales[OrderDate] < MIN('Date'[Date])) > 180))",Customers who returned after a 180+ day gap
70. Customer Retention,[Customer Analysis] Common customer analysis reporting pattern,"DIVIDE, CALCULATE, DISTINCTCOUNT, DATEADD","Retention % = DIVIDE([Returning Customers], CALCULATE(DISTINCTCOUNT(Sales[CustomerID]), DATEADD('Date'[Date],-1,YEAR)))",See formula — Customer Analysis pattern.
71. Customer Churn,[Customer Analysis] Common customer analysis reporting pattern,N/A,Churn % = 1 - [Retention %],See formula — Customer Analysis pattern.
72. Customer Lifetime Value,[Customer Analysis] Combine three sub-measures,N/A,CLV = [Average Order Value] * [Purchase Frequency] * [Avg Customer Lifespan Years],Combine three sub-measures
73. Customer Frequency,[Customer Analysis] Common customer analysis reporting pattern,"DIVIDE, DISTINCTCOUNT","Purchase Frequency = DIVIDE(DISTINCTCOUNT(Sales[OrderID]), DISTINCTCOUNT(Sales[CustomerID]))",See formula — Customer Analysis pattern.
74. Average Basket Size,[Customer Analysis] Common customer analysis reporting pattern,"DIVIDE, SUM, DISTINCTCOUNT","Avg Basket Size = DIVIDE(SUM(Sales[Qty]), DISTINCTCOUNT(Sales[OrderID]))",See formula — Customer Analysis pattern.
75. Average Order Value,[Customer Analysis] Common customer analysis reporting pattern,"DIVIDE, DISTINCTCOUNT","AOV = DIVIDE([Total Sales], DISTINCTCOUNT(Sales[OrderID]))",See formula — Customer Analysis pattern.
76. RFM Analysis,"[Customer Analysis] Each sub-score typically built with SWITCH(TRUE(),...) bucketing quintiles",N/A,RFM Score = [Recency Score]*100 + [Frequency Score]*10 + [Monetary Score],"Each sub-score typically built with SWITCH(TRUE(),...) bucketing quintiles"
77. Customer Segmentation,[Customer Analysis] Common customer analysis reporting pattern,SWITCH,"Customer Tier = SWITCH(TRUE(), [Total Sales]>=10000,""Gold"", [Total Sales]>=5000,""Silver"", [Total Sales]>0,""Bronze"", ""No Purchases"")",See formula — Customer Analysis pattern.
78. High Value Customers,[Customer Analysis] Common customer analysis reporting pattern,"CALCULATE, DISTINCTCOUNT, FILTER","High Value Customers = CALCULATE(DISTINCTCOUNT(Customers[CustomerID]), FILTER(Customers,[Total Sales]>10000))",See formula — Customer Analysis pattern.
79. Low Value Customers,[Customer Analysis] Common customer analysis reporting pattern,"CALCULATE, DISTINCTCOUNT, FILTER","Low Value Customers = CALCULATE(DISTINCTCOUNT(Customers[CustomerID]), FILTER(Customers,[Total Sales]<1000))",See formula — Customer Analysis pattern.
80. VIP Customer Analysis,[Customer Analysis] Common customer analysis reporting pattern,IF,"Is VIP = IF([Customer Tier]=""Gold"" && [Purchase Frequency]>12, ""VIP"", ""Standard"")",See formula — Customer Analysis pattern.
81. Customer Purchase Cycle,[Customer Analysis] Average days between orders per customer,"AVERAGEX, VALUES, DIVIDE, DATEDIFF, CALCULATE, MIN, MAX, DISTINCTCOUNT","Avg Purchase Cycle Days = AVERAGEX(VALUES(Customers[CustomerID]), DIVIDE(DATEDIFF(CALCULATE(MIN(Sales[OrderDate])),CALCULATE(MAX(Sales[OrderDate])),DAY), CALCULATE(DISTINCTCOUNT(Sales[OrderID]))-1))",Average days between orders per customer
82. Days Since Last Purchase,[Customer Analysis] Common customer analysis reporting pattern,"DATEDIFF, CALCULATE, MAX, TODAY","Days Since Last Purchase = DATEDIFF(CALCULATE(MAX(Sales[OrderDate])), TODAY(), DAY)",See formula — Customer Analysis pattern.
